priority_rank,game_name,game_url,canonical_game_key,missing_rank_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,first_observed_play_count_date,first_observed_play_count_source,page_gap_status,metrics_status,exact_metrics_endpoint_count,exact_metrics_cdx_rows,exact_metrics_cached_endpoint_count,exact_metrics_missing_cache_count,exact_metrics_first_cdx_date,exact_metrics_last_cdx_date,exact_metrics_cdx_rows_in_missing_window,exact_metrics_sampled_rows_in_missing_window,exact_metrics_parsed_rows,exact_metrics_first_parsed_date,exact_metrics_first_parsed_plays,exact_metrics_gap_status,side_endpoint_observations,side_endpoint_cdx_hit_observations,side_endpoint_rows_in_missing_window,side_endpoint_parsed_rows,developer_list_observations,developer_list_rows_in_missing_window,recommended_next_action
1851,Yogi Bear,http://www.kongregate.com/games/newgamess/yogi-bear,www.kongregate.com/games/newgamess/yogi-bear,1,16,2016-10-04,2016-10-04,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1852,Halloween Castle,http://www.kongregate.com/games/yell/halloween-castle,www.kongregate.com/games/yell/halloween-castle,1,16,2016-10-17,2016-10-17,2025-08-30,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1853,Sonic Magic Jump,http://www.kongregate.com/games/Gamesdeveloper/sonic-magic-jump,www.kongregate.com/games/gamesdeveloper/sonic-magic-jump,1,16,2016-10-18,2016-10-18,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1854,Wut,http://www.kongregate.com/games/freever/wut,www.kongregate.com/games/freever/wut,1,16,2016-10-24,2016-10-24,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1855,Abyss Dota | Информатор,http://www.kongregate.com/games/MaximM205/abyss-dota,www.kongregate.com/games/maximm205/abyss-dota,1,16,2016-10-30,2016-10-30,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1856,Highscore Clicker,http://www.kongregate.com/games/rex9109/highscore-clicker,www.kongregate.com/games/rex9109/highscore-clicker,1,16,2017-05-16,2017-05-16,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1857,Old Dungeon House escape,http://www.kongregate.com/games/leaf2games2015/old-dungeon-house-escape,www.kongregate.com/games/leaf2games2015/old-dungeon-house-escape,1,16,2017-05-25,2017-05-25,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1858,Grand Plaza of Plazas,http://www.kongregate.com/games/305070/grand-plaza-of-plazas,www.kongregate.com/games/305070/grand-plaza-of-plazas,1,16,2017-05-26,2017-05-26,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1859,space dog,http://www.kongregate.com/games/deadsoul53/space-dog,www.kongregate.com/games/deadsoul53/space-dog,1,16,2017-06-04,2017-06-04,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1860,Mini Lab,http://www.kongregate.com/games/barricados/mini-lab,www.kongregate.com/games/barricados/mini-lab,1,16,2017-06-15,2017-06-15,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
