canonical_game_key,game_name,developer,game_url,best_rank,top_n_appearances,first_observed_date,likely_added_date,observed_categories,primary_genre,genre_tags,genre_confidence,engagement_tags,engagement_confidence,social_platform_status,social_platform_confidence,social_platform_signals,developer_group_key,developer_catalog_game_count,series_group_key,series_catalog_game_count,classification_confidence,classification_signals,review_status,taxonomy_version
www.kongregate.com/games/mateuszskutnik/10-gnomes-in-venice,10 Gnomes in Venice,MateuszSkutnik,http://www.kongregate.com/games/MateuszSkutnik/10-gnomes-in-venice,8,1,2014-09-05,2014-09-05,,unclassified,,none,,none,not_assessed,none,,mateuszskutnik,4,,0,none,,ready,1.0.0
www.kongregate.com/games/rey5137/4096-hexa,4096 Hexa,rey5137,http://www.kongregate.com/games/rey5137/4096-hexa,8,1,2014-08-26,2014-08-26,,unclassified,,none,,none,not_assessed,none,,rey5137,1,,0,none,,ready,1.0.0
www.kongregate.com/games/houseofwillis/alien-defense-8,Alien Defense 8,HouseofWillis,http://www.kongregate.com/games/HouseofWillis/alien-defense-8,8,1,2016-07-14,2016-07-14,,unclassified,,none,,none,not_assessed,none,,houseofwillis,1,,0,none,,ready,1.0.0
www.kongregate.com/games/enagamess/alien-mystery-palace,Alien Mystery : Palace,Enagamess,http://www.kongregate.com/games/Enagamess/alien-mystery-palace,8,1,2016-08-28,2016-08-28,,unclassified,,none,,none,not_assessed,none,,enagamess,68,,0,none,,ready,1.0.0
www.kongregate.com/games/enagamess/archaeologist,Archaeologist,Enagamess,http://www.kongregate.com/games/Enagamess/archaeologist,8,1,2017-07-03,2017-07-03,,unclassified,,none,,none,not_assessed,none,,enagamess,68,,0,none,,ready,1.0.0
www.kongregate.com/games/enagamess/artefacts,Artefacts,Enagamess,http://www.kongregate.com/games/Enagamess/artefacts,8,1,2017-06-04,2017-06-04,,unclassified,,none,,none,not_assessed,none,,enagamess,68,,0,none,,ready,1.0.0
www.kongregate.com/games/rodrigoa479/aventura-de-little-oryx-v-2,Aventura de Little Oryx V.2,RodrigoA479,http://www.kongregate.com/games/RodrigoA479/aventura-de-little-oryx-v-2,8,1,2016-10-04,2016-10-04,,unclassified,,none,,none,not_assessed,none,,rodrigoa479,2,,0,none,,ready,1.0.0
www.kongregate.com/games/asheer/az-game,AZ Game,,http://www.kongregate.com/games/Asheer/az-game,8,1,2014-07-25,2014-07-25,,unclassified,,none,,none,not_assessed,none,,unknown,252,,0,none,,ready,1.0.0
www.kongregate.com/games/wowsomegames/baby-talking-tom-great-makeover,Baby Talking Tom Great Makeover,wowsomegames,http://www.kongregate.com/games/wowsomegames/baby-talking-tom-great-makeover,8,1,2014-10-10,2014-10-10,,unclassified,,none,,none,not_assessed,none,,wowsomegames,4,,0,none,,ready,1.0.0
www.kongregate.com/games/playxm/bean-baby,Bean Baby,playxm,http://www.kongregate.com/games/playxm/bean-baby,8,1,2011-06-26,2011-06-26,,unclassified,,none,,none,not_assessed,none,,playxm,1,,0,none,,ready,1.0.0
www.kongregate.com/games/freeworldgroup/bed-and-breakfast-2,Bed and Breakfast 2,FreeWorldGroup,http://www.kongregate.com/games/FreeWorldGroup/bed-and-breakfast-2,8,1,2011-03-15,2011-03-15,,unclassified,,none,,none,not_assessed,none,,freeworldgroup,6,,0,none,,ready,1.0.0
www.kongregate.com/games/heropunchteam/black-bit-ninja-2,Black Bit Ninja 2,HeroPunchTeam,http://www.kongregate.com/games/HeroPunchTeam/black-bit-ninja-2,8,1,2014-10-04,2014-10-04,,unclassified,,none,,none,not_assessed,none,,heropunchteam,1,,0,none,,ready,1.0.0
www.kongregate.com/games/ed11e/blockboy,BlockBoy,ed11e,http://www.kongregate.com/games/ed11e/blockboy,8,1,2014-09-20,2014-09-20,,unclassified,,none,,none,not_assessed,none,,ed11e,1,,0,none,,ready,1.0.0
www.kongregate.com/games/math_master/blockey,Blockey,math_master,http://www.kongregate.com/games/math_master/blockey,8,1,2011-07-10,2011-07-10,,unclassified,,none,,none,not_assessed,none,,math-master,1,,0,none,,ready,1.0.0
www.kongregate.com/games/tigrounette/bouboum,Bouboum,,http://www.kongregate.com/games/Tigrounette/bouboum,8,1,2013-11-21,2013-11-21,,unclassified,,none,,none,not_assessed,none,,unknown,252,,0,none,,ready,1.0.0
www.kongregate.com/games/funar/bouncy-box,Bouncy Box,funar,http://www.kongregate.com/games/funar/bouncy-box,8,1,2016-02-28,2016-02-28,,unclassified,,none,,none,not_assessed,none,,funar,1,,0,none,,ready,1.0.0
www.kongregate.com/games/copygirl/braveloli,BraveLoli,copygirl,http://www.kongregate.com/games/copygirl/braveloli,8,1,2011-03-08,2011-03-08,,unclassified,,none,,none,not_assessed,none,,copygirl,1,,0,none,,ready,1.0.0
www.kongregate.com/games/enagamess/brothers-treasure-recovery-15,Brothers Treasure Recovery 15,Enagamess,http://www.kongregate.com/games/Enagamess/brothers-treasure-recovery-15,8,1,2016-05-23,2016-05-23,,unclassified,,none,,none,not_assessed,none,,enagamess,68,enagamess:brothers-treasure-recovery,3,low,same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/ainwood87/cabbage-run,Cabbage Run,ainwood87,http://www.kongregate.com/games/ainwood87/cabbage-run,8,1,2016-06-22,2016-06-22,,unclassified,,none,,none,not_assessed,none,,ainwood87,1,,0,none,,ready,1.0.0
www.kongregate.com/games/uuddgames/cagepotatos-power-punch,CagePotato's Power Punch,UUDDGames,http://www.kongregate.com/games/UUDDGames/cagepotatos-power-punch,8,1,2011-03-19,2011-03-19,,unclassified,,none,,none,not_assessed,none,,uuddgames,1,,0,none,,ready,1.0.0
www.kongregate.com/games/mentor31/castle-woodwarf,Castle Woodwarf,Mentor31,http://www.kongregate.com/games/Mentor31/castle-woodwarf,8,1,2017-09-20,2017-09-20,,unclassified,,none,,none,not_assessed,none,,mentor31,1,,0,none,,ready,1.0.0
www.kongregate.com/games/gmentat/casual-space,Casual Space,gmentat,http://www.kongregate.com/games/gmentat/casual-space,8,1,2009-06-17,2009-06-17,,unclassified,,none,,none,not_assessed,none,,gmentat,2,,0,none,,ready,1.0.0
www.kongregate.com/games/yicitian/catch-kim-jong-un,Catch Kim Jong Un,,http://www.kongregate.com/games/yicitian/catch-kim-jong-un,8,1,2014-08-04,2014-08-04,,unclassified,,none,,none,not_assessed,none,,unknown,252,,0,none,,ready,1.0.0
www.kongregate.com/games/mokshal1663/chain-gun-rex,Chain Gun Rex,mokshal1663,http://www.kongregate.com/games/mokshal1663/chain-gun-rex,8,1,2011-05-28,2011-05-28,,unclassified,,none,,none,not_assessed,none,,mokshal1663,1,,0,none,,ready,1.0.0
