status,followup_tier,game_name,game_url,canonical_game_key,best_rank,first_seen_date,endpoint_observations,candidates_with_cdx_rows,failed_observations,unresolved_failed_endpoints,parsed_probe_count_rows,recovered_count_rows,source_types_seen,latest_probe_run_timestamp
archived_endpoint_hit_no_count,,Game of Thrones Ascent,http://www.kongregate.com/games/DisruptorBeam/game-of-thrones-ascent,www.kongregate.com/games/disruptorbeam/game-of-thrones-ascent,,,49,25,0,0,0,0,chat_achievements;chat_js;holodeck;metrics_json;recommended_games,2026-07-03T16:39:48Z
no_archived_endpoint_rows_observed,,GameJam,https://www.kongregate.com/games/robertonome36/gamejam,www.kongregate.com/games/robertonome36/gamejam,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:15:03Z
recovered_count,,GameToilet Mobile#2 : Watch Paint Dry,http://www.kongregate.com/games/kingbaggot/gametoilet-mobile-2-watch-paint-dry,www.kongregate.com/games/kingbaggot/gametoilet-mobile-2-watch-paint-dry,,,4,2,2,0,2,1,metrics_json,2026-07-03T22:04:11Z
no_archived_endpoint_rows_observed,,Gangster Revenge Sniper,http://www.kongregate.com/games/a10comgames/gangster-revenge-sniper,www.kongregate.com/games/a10comgames/gangster-revenge-sniper,,,3,0,1,0,0,0,metrics_json,2026-07-03T23:08:57Z
recovered_count,,GemCraft - Chasing Shadows,http://www.kongregate.com/games/gameinabottle/gemcraft-chasing-shadows,www.kongregate.com/games/gameinabottle/gemcraft-chasing-shadows,,,8,8,0,0,8,4,metrics_json,2026-07-03T17:04:20Z
no_archived_endpoint_rows_observed,,Genie Goes Walkaboutg,http://www.kongregate.com/games/SkidsInMeFalcon/genie-goes-walkaboutg,www.kongregate.com/games/skidsinmefalcon/genie-goes-walkaboutg,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:15:03Z
no_archived_endpoint_rows_observed,,Geoshape beta,http://www.kongregate.com/games/anarchiamgames/geoshape-beta,www.kongregate.com/games/anarchiamgames/geoshape-beta,,,2,0,0,0,0,0,metrics_json,2026-07-03T12:51:50Z
no_archived_endpoint_rows_observed,,Get rid of Red,http://www.kongregate.com/games/dailybraingames/get-rid-of-red,www.kongregate.com/games/dailybraingames/get-rid-of-red,,,3,0,1,0,0,0,metrics_json,2026-07-03T23:09:46Z
no_archived_endpoint_rows_observed,,Ghost Climb,http://www.kongregate.com/games/2pgcom/ghost-climb,www.kongregate.com/games/2pgcom/ghost-climb,,,2,0,0,0,0,0,metrics_json,2026-07-03T18:48:58Z
no_archived_endpoint_rows_observed,,Giga Sun Rising 04,http://www.kongregate.com/games/gigasun/giga-sun-rising-04,www.kongregate.com/games/gigasun/giga-sun-rising-04,,,2,0,0,0,0,0,metrics_json,2026-07-03T20:02:06Z
no_archived_endpoint_rows_observed,,Gingerbread Men's Carnival Escape,http://www.kongregate.com/games/GameKB/gingerbread-mens-carnival-escape,www.kongregate.com/games/gamekb/gingerbread-mens-carnival-escape,,,4,0,2,0,0,0,metrics_json,2026-07-03T18:58:15Z
no_archived_endpoint_rows_observed,,Girl Throat Surgery,http://www.kongregate.com/games/k25507891/girl-throat-surgery,www.kongregate.com/games/k25507891/girl-throat-surgery,,,4,0,2,0,0,0,metrics_json,2026-07-03T22:17:34Z
no_archived_endpoint_rows_observed,,Girl With Cat,http://www.kongregate.com/games/apache_cd/girl-with-cat,www.kongregate.com/games/apache_cd/girl-with-cat,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:27:24Z
no_archived_endpoint_rows_observed,,GiTD#66 Gameplay Demo,http://www.kongregate.com/games/nutter666/gitd-66-gameplay-demo,www.kongregate.com/games/nutter666/gitd-66-gameplay-demo,,,2,0,0,0,0,0,metrics_json,2026-07-03T20:15:07Z
no_archived_endpoint_rows_observed,,Glorkian Warrior: The Trials Of Glork,http://www.kongregate.com/games/pixeljamgames/glorkian-warrior-the-trials-of-glork,www.kongregate.com/games/pixeljamgames/glorkian-warrior-the-trials-of-glork,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:08:19Z
no_archived_endpoint_rows_observed,,GodClicker,http://www.kongregate.com/games/BullerSweety/godclicker,www.kongregate.com/games/bullersweety/godclicker,,,4,0,2,0,0,0,metrics_json,2026-07-03T20:54:42Z
no_archived_endpoint_rows_observed,,Gold Miner Slots,http://www.kongregate.com/games/TreSensa/gold-miner-slots,www.kongregate.com/games/tresensa/gold-miner-slots,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:47:57Z
